event_id,city,event_date,week_number,month,is_monsoon_season,rainfall_mm_24h,temperature_celsius,heat_index_celsius,aqi_value,curfew_imposed,curfew_hours,flood_detected,trigger_rain,trigger_heat,trigger_aqi,trigger_flood,trigger_curfew,any_trigger_fired,disrupted_hours,n_affected_zones,affected_zone_ids
E000001,Chennai,2024-01-01,1,1,False,0.0,22.9,27.5,177.0,False,0,False,False,False,False,False,False,False,0,0,
E000002,Chennai,2024-01-08,2,1,False,114.5,18.6,22.6,154.6,False,0,False,True,False,False,False,False,True,4,14,Z0001|Z0002|Z0003|Z0004|Z0005|Z0006|Z0007|Z0008|Z0009|Z0010|Z0011|Z0012|Z0096|Z0101
E000003,Chennai,2024-01-15,3,1,False,0.0,19.9,29.2,127.2,False,0,False,False,False,False,False,False,False,0,0,
E000004,Chennai,2024-01-22,4,1,False,0.0,23.3,27.0,187.3,False,0,False,False,False,False,False,False,False,0,0,
E000005,Chennai,2024-01-29,5,1,False,0.0,23.4,25.7,181.2,False,0,False,False,False,False,False,False,False,0,0,
E000006,Chennai,2024-02-05,6,2,False,0.0,25.4,34.7,149.7,False,0,False,False,False,False,False,False,False,0,0,
E000007,Chennai,2024-02-12,7,2,False,54.1,20.4,22.6,154.1,False,0,False,False,False,False,False,False,False,0,0,
E000008,Chennai,2024-02-19,8,2,False,0.0,22.6,32.4,200.8,False,0,False,False,False,False,False,False,False,0,0,
E000009,Chennai,2024-02-26,9,2,False,26.6,21.4,25.5,234.7,False,0,False,False,False,False,False,False,False,0,0,
E000010,Chennai,2024-03-04,10,3,False,0.0,26.2,31.8,121.6,False,0,False,False,False,False,False,False,False,0,0,
E000011,Chennai,2024-03-11,11,3,False,0.0,23.3,29.6,103.7,False,0,False,False,False,False,False,False,False,0,0,
E000012,Chennai,2024-03-18,12,3,False,0.0,26.5,35.6,99.6,False,0,False,False,False,False,False,False,False,0,0,
E000013,Chennai,2024-03-25,13,3,False,0.0,28.0,32.5,50.8,False,0,False,False,False,False,False,False,False,0,0,
E000014,Chennai,2024-04-01,14,4,False,0.0,29.9,32.6,74.9,False,0,False,False,False,False,False,False,False,0,0,
E000015,Chennai,2024-04-08,15,4,False,0.0,28.9,36.0,103.8,False,0,False,False,False,False,False,False,False,0,0,
E000016,Chennai,2024-04-15,16,4,False,0.0,26.3,33.2,104.1,False,0,False,False,False,False,False,False,False,0,0,
E000017,Chennai,2024-04-22,17,4,False,0.0,29.9,39.3,75.9,False,0,False,False,False,False,False,False,False,0,0,
E000018,Chennai,2024-04-29,18,4,False,0.0,30.0,32.6,112.6,False,0,False,False,False,False,False,False,False,0,0,
E000019,Chennai,2024-05-06,19,5,False,73.7,33.0,37.9,92.6,False,0,True,True,False,False,True,False,True,7,14,Z0001|Z0002|Z0003|Z0004|Z0005|Z0006|Z0007|Z0008|Z0009|Z0010|Z0011|Z0012|Z0096|Z0101
E000020,Chennai,2024-05-13,20,5,False,0.0,30.1,37.6,99.5,False,0,False,False,False,False,False,False,False,0,0,
E000021,Chennai,2024-05-20,21,5,False,0.0,34.5,37.7,93.5,False,0,False,False,False,False,False,False,False,0,0,
E000022,Chennai,2024-05-27,22,5,False,0.0,27.4,31.5,139.1,False,0,False,False,False,False,False,False,False,0,0,
E000023,Chennai,2024-06-03,23,6,True,32.0,39.5,41.9,85.6,False,0,False,False,False,False,False,False,False,0,0,
E000024,Chennai,2024-06-10,24,6,True,0.0,28.6,35.9,30.0,False,0,False,False,False,False,False,False,False,0,0,
E000025,Chennai,2024-06-17,25,6,True,29.0,32.6,42.4,138.1,False,0,False,False,False,False,False,False,False,0,0,
E000026,Chennai,2024-06-24,26,6,True,54.1,32.0,35.8,77.4,False,0,False,False,False,False,False,False,False,0,0,
E000027,Chennai,2024-07-01,27,7,True,47.1,34.2,38.5,77.1,False,0,False,False,False,False,False,False,False,0,0,
E000028,Chennai,2024-07-08,28,7,True,14.7,32.1,42.1,69.4,False,0,False,False,False,False,False,False,False,0,0,
E000029,Chennai,2024-07-15,29,7,True,48.2,31.4,41.3,67.8,False,0,False,False,False,False,False,False,False,0,0,
E000030,Chennai,2024-07-22,30,7,True,50.5,34.4,43.8,74.3,False,0,False,False,False,False,False,False,False,0,0,
E000031,Chennai,2024-07-29,31,7,True,25.3,36.3,44.4,37.3,False,0,False,False,False,False,False,False,False,0,0,
E000032,Chennai,2024-08-05,32,8,True,51.7,29.9,37.6,85.3,False,0,False,False,False,False,False,False,False,0,0,
E000033,Chennai,2024-08-12,33,8,True,58.8,31.8,37.8,87.6,False,0,False,False,False,False,False,False,False,0,0,
E000034,Chennai,2024-08-19,34,8,True,74.4,27.8,33.4,76.6,False,0,False,True,False,False,False,False,True,6,14,Z0001|Z0002|Z0003|Z0004|Z0005|Z0006|Z0007|Z0008|Z0009|Z0010|Z0011|Z0012|Z0096|Z0101
E000035,Chennai,2024-08-26,35,8,True,48.3,35.2,43.2,60.2,False,0,False,False,False,False,False,False,False,0,0,
E000036,Chennai,2024-09-02,36,9,True,39.9,30.5,32.6,112.2,False,0,False,False,False,False,False,False,False,0,0,
E000037,Chennai,2024-09-09,37,9,True,14.1,35.5,44.3,67.1,False,0,False,False,False,False,False,False,False,0,0,
E000038,Chennai,2024-09-16,38,9,True,49.7,27.1,34.0,63.2,False,0,False,False,False,False,False,False,False,0,0,
E000039,Chennai,2024-09-23,39,9,True,53.4,33.0,35.0,97.0,False,0,False,False,False,False,False,False,False,0,0,
E000040,Chennai,2024-09-30,40,9,True,33.7,35.5,38.2,102.6,False,0,False,False,False,False,False,False,False,0,0,
E000041,Chennai,2024-10-07,41,10,True,108.5,31.4,36.4,61.8,False,0,False,True,False,False,False,False,True,5,14,Z0001|Z0002|Z0003|Z0004|Z0005|Z0006|Z0007|Z0008|Z0009|Z0010|Z0011|Z0012|Z0096|Z0101
E000042,Chennai,2024-10-14,42,10,True,21.6,25.6,35.5,75.8,False,0,False,False,False,False,False,False,False,0,0,
E000043,Chennai,2024-10-21,43,10,True,31.1,29.0,36.1,112.0,False,0,False,False,False,False,False,False,False,0,0,
E000044,Chennai,2024-10-28,44,10,True,188.5,28.7,31.3,116.8,False,0,True,True,False,False,True,False,True,3,14,Z0001|Z0002|Z0003|Z0004|Z0005|Z0006|Z0007|Z0008|Z0009|Z0010|Z0011|Z0012|Z0096|Z0101
E000045,Chennai,2024-11-04,45,11,False,0.0,29.3,36.7,199.1,False,0,False,False,False,False,False,False,False,0,0,
E000046,Chennai,2024-11-11,46,11,False,0.0,27.0,32.7,184.6,False,0,False,False,False,False,False,False,False,0,0,
E000047,Chennai,2024-11-18,47,11,False,0.0,26.3,34.1,162.6,False,0,False,False,False,False,False,False,False,0,0,
E000048,Chennai,2024-11-25,48,11,False,0.0,26.4,30.5,224.0,False,0,False,False,False,False,False,False,False,0,0,
E000049,Chennai,2024-12-02,49,12,False,0.0,21.0,24.8,148.5,False,0,False,False,False,False,False,False,False,0,0,
E000050,Chennai,2024-12-09,50,12,False,62.8,19.5,23.6,114.7,False,0,False,False,False,False,False,False,False,0,0,
E000051,Chennai,2024-12-16,51,12,False,0.0,18.2,27.4,126.6,False,0,False,False,False,False,False,False,False,0,0,
E000052,Chennai,2024-12-23,52,12,False,0.0,21.4,30.3,133.7,False,0,False,False,False,False,False,False,False,0,0,
E000053,Chennai,2024-12-30,53,12,False,0.0,21.5,25.1,152.5,False,0,False,False,False,False,False,False,False,0,0,
E000054,Chennai,2025-01-06,54,1,False,0.0,24.9,32.2,152.8,False,0,False,False,False,False,False,False,False,0,0,
E000055,Chennai,2025-01-13,55,1,False,0.0,20.6,22.7,190.7,False,0,False,False,False,False,False,False,False,0,0,
E000056,Chennai,2025-01-20,56,1,False,0.0,23.6,25.9,190.2,False,0,False,False,False,False,False,False,False,0,0,
E000057,Chennai,2025-01-27,57,1,False,45.4,20.1,29.0,177.6,False,0,False,False,False,False,False,False,False,0,0,
E000058,Chennai,2025-02-03,58,2,False,0.0,26.9,29.9,142.9,False,0,False,False,False,False,False,False,False,0,0,
E000059,Chennai,2025-02-10,59,2,False,0.0,24.7,29.5,168.5,False,0,False,False,False,False,False,False,False,0,0,
E000060,Chennai,2025-02-17,60,2,False,0.0,21.5,24.2,194.4,False,0,False,False,False,False,False,False,False,0,0,
E000061,Chennai,2025-02-24,61,2,False,0.0,24.6,31.8,214.2,False,0,False,False,False,False,False,False,False,0,0,
E000062,Chennai,2025-03-03,62,3,False,12.4,26.9,36.3,96.2,False,0,False,False,False,False,False,False,False,0,0,
E000063,Chennai,2025-03-10,63,3,False,190.3,31.3,37.6,73.3,False,0,False,True,False,False,False,False,True,3,14,Z0001|Z0002|Z0003|Z0004|Z0005|Z0006|Z0007|Z0008|Z0009|Z0010|Z0011|Z0012|Z0096|Z0101
E000064,Chennai,2025-03-17,64,3,False,0.0,25.0,27.6,121.1,False,0,False,False,False,False,False,False,False,0,0,
E000065,Chennai,2025-03-24,65,3,False,10.0,19.6,24.3,83.5,False,0,False,False,False,False,False,False,False,0,0,
E000066,Chennai,2025-03-31,66,3,False,0.0,24.4,29.5,116.1,False,0,False,False,False,False,False,False,False,0,0,
E000067,Chennai,2025-04-07,67,4,False,0.0,28.4,35.1,79.1,False,0,False,False,False,False,False,False,False,0,0,
E000068,Chennai,2025-04-14,68,4,False,0.0,28.4,36.9,110.0,False,0,False,False,False,False,False,False,False,0,0,
E000069,Chennai,2025-04-21,69,4,False,0.0,26.5,30.1,80.6,False,0,False,False,False,False,False,False,False,0,0,
E000070,Chennai,2025-04-28,70,4,False,0.0,26.5,34.3,121.8,False,0,False,False,False,False,False,False,False,0,0,
E000071,Chennai,2025-05-05,71,5,False,0.0,29.2,33.6,84.3,False,0,False,False,False,False,False,False,False,0,0,
E000072,Chennai,2025-05-12,72,5,False,0.0,27.8,34.5,105.3,False,0,False,False,False,False,False,False,False,0,0,
E000073,Chennai,2025-05-19,73,5,False,0.0,36.1,40.9,118.4,False,0,False,False,False,False,False,False,False,0,0,
E000074,Chennai,2025-05-26,74,5,False,0.0,31.6,35.4,112.0,False,0,False,False,False,False,False,False,False,0,0,
E000075,Chennai,2025-06-02,75,6,True,30.0,34.9,41.5,70.5,False,0,False,False,False,False,False,False,False,0,0,
E000076,Chennai,2025-06-09,76,6,True,54.2,36.0,43.1,116.3,False,0,False,False,False,False,False,False,False,0,0,
E000077,Chennai,2025-06-16,77,6,True,38.7,38.5,45.7,74.2,False,0,False,False,False,False,False,False,False,0,0,
E000078,Chennai,2025-06-23,78,6,True,7.2,38.4,43.9,85.5,False,0,False,False,False,False,False,False,False,0,0,
E000079,Chennai,2025-06-30,79,6,True,98.0,32.8,42.2,54.2,False,0,True,True,False,False,True,False,True,8,14,Z0001|Z0002|Z0003|Z0004|Z0005|Z0006|Z0007|Z0008|Z0009|Z0010|Z0011|Z0012|Z0096|Z0101
E000080,Chennai,2025-07-07,80,7,True,29.5,36.5,44.5,76.2,False,0,False,False,False,False,False,False,False,0,0,
E000081,Chennai,2025-07-14,81,7,True,77.3,33.5,43.1,80.8,False,0,True,True,False,False,True,False,True,8,14,Z0001|Z0002|Z0003|Z0004|Z0005|Z0006|Z0007|Z0008|Z0009|Z0010|Z0011|Z0012|Z0096|Z0101
