claim_id,policy_id,worker_id,event_id,city,zone_id,claim_date,week_number,trigger_type,rainfall_mm,aqi_value,temperature,curfew_imposed,disrupted_hours,gps_in_affected_zone,gps_spoof_detected,delivery_activity_detected,duplicate_claim,eligibility_passed,new_registration_fraud,abnormal_claim_freq,fraud_risk_score,is_fraud_ground_truth,claim_status,payout_amount,processing_time_mins,n_platforms_verified,weekly_earnings_avg,premium_paid
C0000001,P0000004,W000001,E000940,Kolkata,Z0082,2024-01-22,4,Rain|Flood,119.8,324.1,20.9,False,3,True,False,False,False,True,False,False,0.0579,False,Auto_Approved,261.35,10.4,2,3397.56,149.26
C0000002,P0000012,W000001,E000948,Kolkata,Z0082,2024-03-18,12,Curfew,0.0,179.0,20.0,True,22,True,False,False,False,True,False,False,0.0267,False,Auto_Approved,679.51,5.0,2,3397.56,137.73
C0000003,P0000028,W000002,E000318,Mumbai,Z0032,2024-02-05,6,Curfew,0.0,256.9,25.0,True,6,True,False,False,False,True,False,False,0.0232,False,Auto_Approved,261.09,11.2,1,1566.52,73.47
C0000004,P0000048,W000002,E000338,Mumbai,Z0032,2024-06-24,26,Rain|Flood,66.1,177.3,31.7,False,4,True,False,False,False,True,False,False,0.0779,False,Auto_Approved,261.09,2.4,1,1566.52,103.83
C0000005,P0000052,W000002,E000342,Mumbai,Z0032,2024-07-22,30,Rain,199.3,92.7,37.3,False,3,True,False,False,False,True,False,False,0.0058,False,Auto_Approved,195.81,8.1,1,1566.52,104.69
C0000006,P0000055,W000002,E000345,Mumbai,Z0032,2024-08-12,33,Rain|Flood,107.4,113.7,38.8,False,8,True,False,False,False,True,False,False,0.033,False,Auto_Approved,261.09,3.2,1,1566.52,104.51
C0000007,P0000076,W000004,E000002,Chennai,Z0005,2024-01-08,2,Rain,114.5,154.6,18.6,False,4,True,False,False,False,True,False,False,0.0519,False,Auto_Approved,456.49,4.5,4,3081.29,108.11
C0000008,P0000093,W000004,E000019,Chennai,Z0005,2024-05-06,19,Rain|Flood,73.7,92.6,33.0,False,7,True,False,False,False,True,False,False,0.0395,False,Auto_Approved,798.85,11.3,4,3081.29,102.69
C0000009,P0000108,W000004,E000034,Chennai,Z0005,2024-08-19,34,Rain,74.4,76.6,27.8,False,6,True,False,False,False,True,False,False,0.0212,False,Auto_Approved,684.73,5.0,4,3081.29,160.79
C0000010,P0000115,W000004,E000041,Chennai,Z0005,2024-10-07,41,Rain,108.5,61.8,31.4,False,5,True,False,False,False,True,False,False,0.078,False,Auto_Approved,570.61,6.1,4,3081.29,161.18
C0000011,P0000118,W000004,E000044,Chennai,Z0005,2024-10-28,44,Rain|Flood,188.5,116.8,28.7,False,3,True,False,False,False,True,False,False,0.0435,False,Auto_Approved,342.37,2.3,4,3081.29,163.55
C0000012,P0000127,W000005,E000938,Kolkata,Z0078,2024-01-08,2,Rain|Flood,137.9,332.4,24.4,False,6,True,False,False,False,True,False,False,0.0306,False,Auto_Approved,205.87,9.5,2,1235.23,54.61
C0000013,P0000129,W000005,E000940,Kolkata,Z0078,2024-01-22,4,Rain|Flood,119.8,324.1,20.9,False,3,True,False,False,False,True,False,False,0.0742,False,Auto_Approved,193.0,9.7,2,1235.23,55.93
C0000014,P0000176,W000008,E001093,Ahmedabad,Z0090,2024-01-01,1,Curfew,0.0,258.7,25.2,True,21,True,False,False,False,True,False,False,0.023,False,Auto_Approved,191.58,5.2,2,766.31,32.69
C0000015,P0000194,W000008,E001111,Ahmedabad,Z0090,2024-05-06,19,Rain|Flood,168.7,133.8,29.4,False,7,True,False,False,False,True,False,False,0.0101,False,Auto_Approved,191.58,9.7,2,766.31,31.31
C0000016,P0000204,W000008,E001121,Ahmedabad,Z0090,2024-07-15,29,Curfew,0.0,96.6,31.6,True,10,True,False,False,False,True,False,False,0.0444,False,Auto_Approved,191.58,10.6,2,766.31,37.72
C0000017,P0000208,W000008,E001125,Ahmedabad,Z0090,2024-08-12,33,Rain,89.7,97.9,29.6,False,6,True,False,False,False,True,False,False,0.0547,False,Auto_Approved,191.58,6.4,2,766.31,36.47
C0000018,P0000213,W000008,E001130,Ahmedabad,Z0090,2024-09-16,38,Rain,130.7,103.8,32.6,False,7,True,False,False,False,True,False,False,0.0621,False,Auto_Approved,191.58,3.3,2,766.31,38.01
C0000019,P0000220,W000009,E000157,Delhi,Z0020,2024-01-01,1,AQI,0.0,433.2,19.0,False,11,True,False,False,False,True,False,False,0.0402,False,Auto_Approved,1091.95,4.3,3,5459.74,200.0
C0000020,P0000224,W000009,E000161,Delhi,Z0020,2024-01-29,5,AQI,0.0,451.5,23.1,False,10,True,False,False,False,True,False,False,0.0149,False,Auto_Approved,1091.95,7.4,3,5459.74,200.0
C0000021,P0000225,W000009,E000162,Delhi,Z0020,2024-02-05,6,AQI,0.0,414.8,24.7,False,10,True,False,False,False,True,False,False,0.0617,False,Auto_Approved,1091.95,8.6,3,5459.74,200.0
C0000022,P0000234,W000011,E000318,Mumbai,Z0045,2024-02-05,6,Curfew,0.0,256.9,25.0,True,6,True,False,False,False,True,False,False,0.0025,False,Auto_Approved,424.15,6.3,2,5301.9,200.0
C0000023,P0000254,W000013,E000157,Delhi,Z0016,2024-01-01,1,AQI,0.0,433.2,19.0,False,11,True,False,False,False,True,False,False,0.0402,False,Auto_Approved,1080.35,3.8,1,7189.25,200.0
C0000024,P0000255,W000013,E000158,Delhi,Z0016,2024-01-08,2,AQI,0.0,688.0,15.4,False,4,True,False,False,False,True,False,False,0.0113,False,Auto_Approved,392.86,10.3,1,7189.25,200.0
C0000025,P0000259,W000013,E000162,Delhi,Z0016,2024-02-05,6,AQI,0.0,414.8,24.7,False,10,True,False,False,False,True,False,False,0.0443,False,Auto_Approved,982.14,3.0,1,7189.25,200.0
C0000026,P0000262,W000013,E000165,Delhi,Z0016,2024-02-26,9,AQI,0.0,486.0,25.8,False,10,True,False,False,False,True,False,False,0.0399,False,Auto_Approved,982.14,6.6,1,7189.25,200.0
C0000027,P0000269,W000013,E000172,Delhi,Z0016,2024-04-15,16,AQI,0.0,416.5,30.3,False,6,True,False,False,False,True,False,False,0.0164,False,Auto_Approved,589.28,8.8,1,7189.25,200.0
C0000028,P0000299,W000015,E001121,Ahmedabad,Z0091,2024-07-15,29,Curfew,0.0,96.6,31.6,True,10,True,False,True,False,True,False,True,0.7503,True,Flagged_Manual_Review,0.0,4.4,3,4617.74,200.0
C0000029,P0000317,W000018,E000940,Kolkata,Z0082,2024-01-22,4,Rain|Flood,119.8,324.1,20.9,False,3,True,False,False,False,True,False,False,0.0359,False,Auto_Approved,240.31,7.8,4,3124.0,124.35
C0000030,P0000330,W000019,E000938,Kolkata,Z0086,2024-01-08,2,Rain|Flood,137.9,332.4,24.4,False,6,True,False,False,False,True,False,False,0.0292,False,Auto_Approved,331.94,6.9,1,1792.45,76.48
C0000031,P0000332,W000019,E000940,Kolkata,Z0086,2024-01-22,4,Rain|Flood,119.8,324.1,20.9,False,3,True,False,False,False,True,False,False,0.0057,False,Auto_Approved,165.97,3.0,1,1792.45,75.71
C0000032,P0000340,W000019,E000948,Kolkata,Z0086,2024-03-18,12,Curfew,0.0,179.0,20.0,True,22,True,False,False,False,True,False,False,0.0519,False,Auto_Approved,448.11,7.6,1,1792.45,72.9
C0000033,P0000345,W000019,E000953,Kolkata,Z0086,2024-04-22,17,Curfew,38.8,128.3,25.5,True,19,True,False,False,False,True,False,False,0.0143,False,Auto_Approved,448.11,8.1,1,1792.45,70.78
C0000034,P0000380,W000021,E001093,Ahmedabad,Z0094,2024-01-01,1,Curfew,0.0,258.7,25.2,True,21,True,False,False,False,True,False,False,0.0295,False,Auto_Approved,722.96,3.8,1,4337.78,157.82
C0000035,P0000413,W000024,E001093,Ahmedabad,Z0088,2024-01-01,1,Curfew,0.0,258.7,25.2,True,21,True,False,False,False,True,False,False,0.024,False,Auto_Approved,501.3,8.5,3,2506.5,100.23
C0000036,P0000451,W000026,E000019,Chennai,Z0009,2024-05-06,19,Rain|Flood,73.7,92.6,33.0,False,7,True,False,False,False,True,False,False,0.0651,False,Auto_Approved,611.57,7.4,1,4665.43,183.76
C0000037,P0000502,W000029,E000948,Kolkata,Z0083,2024-03-18,12,Curfew,0.0,179.0,20.0,True,22,True,False,False,False,True,False,False,0.068,False,Auto_Approved,459.78,4.8,4,2298.88,93.17
C0000038,P0000507,W000029,E000953,Kolkata,Z0083,2024-04-22,17,Curfew,38.8,128.3,25.5,True,19,True,False,False,False,True,False,False,0.0491,False,Auto_Approved,459.78,10.6,4,2298.88,97.76
C0000039,P0000511,W000030,E000002,Chennai,Z0096,2024-01-08,2,Rain,114.5,154.6,18.6,False,4,True,False,False,False,True,False,False,0.0075,False,Auto_Approved,398.59,9.3,2,4334.72,197.2
C0000040,P0000569,W000032,E000498,Bengaluru,Z0047,2024-07-22,30,Rain,87.5,62.9,31.0,False,9,True,False,False,False,True,False,False,0.0232,False,Auto_Approved,728.79,9.3,2,5101.5,200.0
C0000041,P0000575,W000032,E000504,Bengaluru,Z0047,2024-09-02,36,Rain,64.5,63.0,24.7,False,9,True,False,True,False,True,False,False,0.1945,True,Auto_Approved,728.79,2.0,2,5101.5,200.0
C0000042,P0000580,W000032,E000509,Bengaluru,Z0047,2024-10-07,41,Rain|Flood,70.3,83.4,27.4,False,4,True,False,False,False,True,False,False,0.0141,False,Auto_Approved,399.33,7.7,2,5101.5,200.0
C0000043,P0000586,W000032,E000515,Bengaluru,Z0047,2024-11-18,47,Rain,95.6,124.1,24.3,False,8,True,False,False,False,True,False,False,0.0393,False,Auto_Approved,728.79,10.1,2,5101.5,200.0
C0000044,P0000598,W000034,E000318,Mumbai,Z0102,2024-02-05,6,Curfew,0.0,256.9,25.0,True,6,True,False,False,False,True,False,False,0.0632,False,Auto_Approved,539.72,11.4,2,3463.23,150.8
C0000045,P0000636,W000036,E000653,Hyderabad,Z0068,2024-07-15,29,Rain,69.0,67.3,30.5,False,3,True,False,True,False,True,False,False,0.2084,True,Auto_Approved,265.16,10.7,2,2041.74,112.35
C0000046,P0000637,W000036,E000654,Hyderabad,Z0068,2024-07-22,30,Rain,69.5,87.5,32.2,False,8,True,False,False,False,True,False,False,0.0068,False,Auto_Approved,680.58,7.6,2,2041.74,113.08
C0000047,P0000638,W000036,E000655,Hyderabad,Z0068,2024-07-29,31,Rain,81.8,51.7,32.8,False,6,True,False,False,False,True,False,False,0.0076,False,Auto_Approved,530.32,8.1,2,2041.74,113.76
C0000048,P0000642,W000037,E001093,Ahmedabad,Z0088,2024-01-01,1,Curfew,0.0,258.7,25.2,True,21,True,False,False,False,True,False,False,0.0011,False,Auto_Approved,304.03,10.9,1,1520.17,63.73
C0000049,P0000644,W000038,E000938,Kolkata,Z0099,2024-01-08,2,Rain|Flood,137.9,332.4,24.4,False,6,True,False,False,False,True,False,False,0.0162,False,Auto_Approved,577.97,9.1,4,3082.5,141.42
C0000050,P0000664,W000041,E000940,Kolkata,Z0078,2024-01-22,4,Rain|Flood,119.8,324.1,20.9,False,3,True,False,False,False,True,False,False,0.0773,False,Auto_Approved,201.38,9.4,1,2785.8,117.58
C0000051,P0000672,W000041,E000948,Kolkata,Z0078,2024-03-18,12,Curfew,0.0,179.0,20.0,True,22,True,False,False,False,True,False,False,0.0297,False,Auto_Approved,557.16,4.3,1,2785.8,107.8
C0000052,P0000677,W000041,E000953,Kolkata,Z0078,2024-04-22,17,Curfew,38.8,128.3,25.5,True,19,True,False,False,False,True,False,False,0.0423,False,Auto_Approved,557.16,6.4,1,2785.8,105.6
C0000053,P0000699,W000044,E000157,Delhi,Z0015,2024-01-01,1,AQI,0.0,433.2,19.0,False,11,True,False,False,False,True,False,False,0.0229,False,Auto_Approved,506.76,2.2,2,2027.06,97.53
C0000054,P0000703,W000044,E000161,Delhi,Z0015,2024-01-29,5,AQI,0.0,451.5,23.1,False,10,True,False,False,False,True,False,False,0.0007,False,Auto_Approved,506.76,9.6,2,2027.06,94.29
C0000055,P0000706,W000044,E000164,Delhi,Z0015,2024-02-19,8,AQI,0.0,516.2,21.8,False,10,True,False,False,False,True,False,False,0.0408,False,Auto_Approved,506.76,9.2,2,2027.06,95.99
C0000056,P0000708,W000045,E000002,Chennai,Z0008,2024-01-08,2,Rain,114.5,154.6,18.6,False,4,True,False,False,False,True,False,False,0.0758,False,Auto_Approved,276.4,5.0,2,3731.46,171.0
C0000057,P0000727,W000047,E000938,Kolkata,Z0085,2024-01-08,2,Rain|Flood,137.9,332.4,24.4,False,6,True,False,False,False,True,False,False,0.0516,False,Auto_Approved,504.08,6.0,1,3234.49,124.47
C0000058,P0000729,W000047,E000940,Kolkata,Z0085,2024-01-22,4,Rain|Flood,119.8,324.1,20.9,False,3,True,False,False,False,True,False,False,0.0673,False,Auto_Approved,252.04,7.5,1,3234.49,126.87
C0000059,P0000731,W000048,E000157,Delhi,Z0022,2024-01-01,1,AQI,0.0,433.2,19.0,False,11,True,False,False,False,True,False,False,0.0746,False,Auto_Approved,1133.76,2.8,1,7111.76,200.0
C0000060,P0000733,W000049,E000938,Kolkata,Z0078,2024-01-08,2,Rain|Flood,137.9,332.4,24.4,False,6,True,False,True,False,True,False,False,0.2519,True,Auto_Approved,229.46,8.8,1,1606.2,66.58
C0000061,P0000735,W000049,E000940,Kolkata,Z0078,2024-01-22,4,Rain|Flood,119.8,324.1,20.9,False,3,True,False,False,False,True,False,False,0.0031,False,Auto_Approved,202.46,10.7,1,1606.2,70.77
C0000062,P0000748,W000049,E000953,Kolkata,Z0078,2024-04-22,17,Curfew,38.8,128.3,25.5,True,19,True,False,False,False,True,False,False,0.0593,False,Auto_Approved,229.46,2.6,1,1606.2,62.08
C0000063,P0000763,W000049,E000968,Kolkata,Z0078,2024-08-05,32,Rain,88.0,156.8,33.5,False,6,True,False,False,False,True,False,False,0.0666,False,Auto_Approved,229.46,2.8,1,1606.2,95.33
C0000064,P0000765,W000049,E000970,Kolkata,Z0078,2024-08-19,34,Rain|Flood,174.2,143.7,30.8,False,5,True,False,False,False,True,False,False,0.0257,False,Auto_Approved,229.46,8.2,1,1606.2,90.56
C0000065,P0000774,W000049,E000979,Kolkata,Z0078,2024-10-21,43,Rain|Flood,109.7,122.0,25.5,False,4,True,False,False,False,True,False,False,0.0065,False,Auto_Approved,229.46,9.9,1,1606.2,93.58
C0000066,P0000825,W000053,E000159,Delhi,Z0029,2024-01-15,3,AQI,0.0,447.5,22.5,False,9,True,False,False,False,True,False,False,0.079,False,Auto_Approved,375.43,2.3,1,1501.7,70.53
C0000067,P0000828,W000053,E000162,Delhi,Z0029,2024-02-05,6,AQI,0.0,414.8,24.7,False,10,True,False,False,False,True,False,False,0.0057,False,Auto_Approved,375.43,7.5,1,1501.7,73.17
C0000068,P0000831,W000054,E000002,Chennai,Z0003,2024-01-08,2,Rain,114.5,154.6,18.6,False,4,True,False,False,False,True,False,False,0.0668,False,Auto_Approved,328.23,8.9,1,2396.07,94.25
C0000069,P0000837,W000055,E000158,Delhi,Z0030,2024-01-08,2,AQI,0.0,688.0,15.4,False,4,True,False,False,False,True,False,False,0.0202,False,Auto_Approved,259.47,6.4,1,3074.77,145.61
C0000070,P0000838,W000055,E000159,Delhi,Z0030,2024-01-15,3,AQI,0.0,447.5,22.5,False,9,True,False,False,False,True,False,False,0.0125,False,Auto_Approved,512.46,7.6,1,3074.77,145.09
C0000071,P0000849,W000057,E000157,Delhi,Z0030,2024-01-01,1,AQI,0.0,433.2,19.0,False,11,True,False,False,False,True,False,False,0.002,False,Auto_Approved,1095.96,5.2,4,7671.71,200.0
C0000072,P0000851,W000057,E000159,Delhi,Z0030,2024-01-15,3,AQI,0.0,447.5,22.5,False,9,True,False,False,False,True,False,False,0.0665,False,Auto_Approved,1095.96,8.1,4,7671.71,200.0
C0000073,P0000852,W000057,E000160,Delhi,Z0030,2024-01-22,4,AQI,0.0,500.5,19.9,False,10,True,False,False,False,True,False,False,0.0785,False,Auto_Approved,1095.96,8.3,4,7671.71,200.0
C0000074,P0000853,W000057,E000161,Delhi,Z0030,2024-01-29,5,AQI,0.0,451.5,23.1,False,10,False,True,True,False,True,False,False,0.8141,True,Flagged_Manual_Review,0.0,8.1,4,7671.71,200.0
C0000075,P0000885,W000060,E000158,Delhi,Z0025,2024-01-08,2,AQI,0.0,688.0,15.4,False,4,True,False,False,False,True,False,False,0.0519,False,Auto_Approved,346.86,3.4,1,3902.21,200.0
C0000076,P0000895,W000061,E000940,Kolkata,Z0085,2024-01-22,4,Rain|Flood,119.8,324.1,20.9,False,3,True,False,False,False,True,False,False,0.0731,False,Auto_Approved,261.67,8.4,3,3872.79,180.25
